Iteration 1: c = x, s = esrss, state = 0
Iteration 633: c = ), s = rstrr, state = 9
Iteration 634: c = a, s = rsste, state = 9
Iteration 635: c = {, s = sresr, state = 9
Iteration 636: c = ], s = sertt, state = 9
Iteration 637: c = {, s = rrser, state = 9
Iteration 638: c =  , s = errrr, state = 9
Iteration 639: c = (, s = srsrr, state = 9
Iteration 640: c = a, s = rstee, state = 9
Iteration 641: c = }, s = ttrts, state = 9
Iteration 642: c = }, s = rstsr, state = 9
Iteration 643: c = x, s = rerre, state = 9
Iteration 644: c = x, s = rtesr, state = 9
Iteration 645: c = }, s = erree, state = 9
Iteration 646: c = {, s = rrret, state = 9
Iteration 647: c = {, s = rtere, state = 9
Iteration 648: c = }, s = resre, state = 9
Iteration 649: c = [, s = eestt, state = 9
Iteration 650: c = [, s = resrs, state = 9
Iteration 651: c = ), s = esret, state = 9
Iteration 652: c = (, s = rrter, state = 9
Iteration 653: c = {, s = srsrr, state = 9
Iteration 654: c =  , s = tseee, state = 9
Iteration 655: c = }, s = resss, state = 9
Iteration 656: c = ), s = stste, state = 9
Iteration 657: c = ], s = tesss, state = 9
Iteration 658: c =  , s = trssr, state = 9
Iteration 659: c = ], s = strtr, state = 9
Iteration 660: c = a, s = rrtst, state = 9
Iteration 661: c = (, s = serer, state = 9
Iteration 662: c = {, s = ttses, state = 9
Iteration 663: c = }, s = teret, state = 9
Iteration 664: c = ], s = tetre, state = 9
Iteration 665: c =  , s = eerrr, state = 9
Iteration 666: c = x, s = esest, state = 9
Iteration 667: c = (, s = tsest, state = 9
Iteration 668: c = ), s = ssrtt, state = 9
Iteration 669: c = {, s = ttett, state = 9
Iteration 670: c = {, s = trrte, state = 9
Iteration 671: c = ], s = tssrr, state = 9
Iteration 672: c = ], s = errss, state = 9
Iteration 673: c = a, s = ersst, state = 9
Iteration 674: c = ], s = stets, state = 9
Iteration 675: c = ), s = sersr, state = 9
Iteration 676: c = (, s = strrt, state = 9
Iteration 677: c = ), s = sertt, state = 9
Iteration 678: c = x, s = tetet, state = 9
Iteration 679: c = {, s = teerr, state = 9
Iteration 680: c =  , s = rsrer, state = 9
Iteration 681: c = x, s = ssrst, state = 9
Iteration 682: c = ], s = teetr, state = 9
Iteration 683: c = ], s = steee, state = 9
Iteration 684: c = [, s = treee, state = 9
Iteration 685: c = (, s = reres, state = 9
Iteration 686: c = [, s = setst, state = 9
Iteration 687: c = {, s = ssrts, state = 9
Iteration 688: c = }, s = rrree, state = 9
Iteration 689: c = x, s = srete, state = 9
Iteration 690: c = {, s = esrst, state = 9
Iteration 691: c = ], s = tetst, state = 9
Iteration 692: c = a, s = eseee, state = 9
Iteration 693: c = }, s = eetet, state = 9
Iteration 694: c = }, s = seerr, state = 9
Iteration 695: c = (, s = ssrsr, state = 9
Iteration 696: c = x, s = etrre, state = 9
Iteration 697: c = a, s = tsset, state = 9
Iteration 698: c = ), s = reers, state = 9
Iteration 699: c = (, s = reeee, state = 9
Iteration 700: c = [, s = rttrs, state = 9
Iteration 701: c = (, s = rtsrt, state = 9
Iteration 702: c = ), s = rtssr, state = 9
Iteration 703: c =  , s = srttr, state = 9
Iteration 704: c = (, s = tesrs, state = 9
Iteration 705: c = {, s = estet, state = 9
Iteration 706: c = ), s = rtrtt, state = 9
Iteration 707: c =  , s = trses, state = 9
Iteration 708: c = ), s = trtst, state = 9
Iteration 709: c = ), s = rsrss, state = 9
Iteration 710: c = (, s = sreee, state = 9
Iteration 711: c = ), s = setsr, state = 9
Iteration 712: c = [, s = ettre, state = 9
Iteration 713: c = {, s = srset, state = 9
Iteration 714: c = }, s = etree, state = 9
Iteration 715: c = x, s = rtssr, state = 9
Iteration 716: c = {, s = ssesr, state = 9
Iteration 717: c = {, s = esers, state = 9
Iteration 718: c =  , s = ersts, state = 9
Iteration 719: c = [, s = etrer, state = 9
Iteration 720: c = }, s = teest, state = 9
Iteration 721: c =  , s = eerst, state = 9
Iteration 722: c = (, s = rrter, state = 9
Iteration 723: c = x, s = tseee, state = 9
Iteration 724: c = (, s = tsstt, state = 9
Iteration 725: c = x, s = etrte, state = 9
Iteration 726: c = x, s = esree, state = 9
Iteration 727: c = {, s = seres, state = 9
Iteration 728: c = x, s = setrs, state = 9
Iteration 729: c = [, s = tetse, state = 9
Iteration 730: c = x, s = eseee, state = 9
Iteration 731: c = a, s = rserr, state = 9
Iteration 732: c =  , s = rster, state = 9
Iteration 733: c = x, s = ssses, state = 9
Iteration 734: c =  , s = essrr, state = 9
Iteration 735: c = ], s = teers, state = 9
Iteration 736: c = ], s = tsers, state = 9
Iteration 737: c = (, s = strer, state = 9
Iteration 738: c =  , s = sssrt, state = 9
Iteration 739: c = (, s = rrtse, state = 9
Iteration 740: c = ], s = errtr, state = 9
Iteration 741: c = x, s = strtt, state = 9
Iteration 742: c = x, s = eeees, state = 9
Iteration 743: c =  , s = erttr, state = 9
Iteration 744: c =  , s = rettt, state = 9
Iteration 745: c = (, s = sersr, state = 9
Iteration 746: c = a, s = rsrre, state = 9
Iteration 747: c =  , s = tsert, state = 9
Iteration 748: c = ], s = srrer, state = 9
Iteration 749: c = x, s = rretr, state = 9
Iteration 750: c = [, s = tsste, state = 9
Iteration 751: c = a, s = terts, state = 9
Iteration 752: c = [, s = terre, state = 9
Iteration 753: c = x, s = ttrte, state = 9
Iteration 754: c = x, s = rerer, state = 9
Iteration 755: c = {, s = sttrs, state = 9
Iteration 756: c = ), s = seese, state = 9
Iteration 757: c =  , s = rrrrr, state = 9
Iteration 758: c = ), s = ttett, state = 9
Iteration 759: c = ], s = tttrr, state = 9
Iteration 760: c = ), s = rtstt, state = 9
Iteration 761: c = [, s = tsser, state = 9
Iteration 762: c = x, s = rrter, state = 9
Iteration 763: c = (, s = trsrt, state = 9
Iteration 764: c =  , s = ttrst, state = 9
Iteration 765: c = }, s = strrt, state = 9
Iteration 766: c = a, s = esett, state = 9
Iteration 767: c = [, s = srsee, state = 9
Iteration 768: c = ], s = rrtsr, state = 9
Iteration 769: c = {, s = rters, state = 9
Iteration 770: c =  , s = errer, state = 9
Iteration 771: c = ), s = eeesr, state = 9
Iteration 772: c =  , s = rsett, state = 9
Iteration 773: c = ], s = stses, state = 9
Iteration 774: c = (, s = tsses, state = 9
Iteration 775: c =  , s = erree, state = 9
Iteration 776: c = ], s = rssse, state = 9
Iteration 777: c = (, s = teerr, state = 9
Iteration 778: c = {, s = ssrrt, state = 9
Iteration 779: c = {, s = strrr, state = 9
Iteration 780: c = }, s = resrt, state = 9
Iteration 781: c = ], s = etste, state = 9
Iteration 782: c = {, s = eresr, state = 9
Iteration 783: c = [, s = tsrts, state = 9
Iteration 784: c = ), s = eesee, state = 9
Iteration 785: c = a, s = tsrss, state = 9
Iteration 786: c = }, s = stsrs, state = 9
Iteration 787: c = }, s = rrres, state = 9
Iteration 788: c = (, s = setsr, state = 9
Iteration 789: c = {, s = setrs, state = 9
Iteration 790: c = x, s = tsstr, state = 9
Iteration 791: c = [, s = ssrrs, state = 9
Iteration 792: c = a, s = rstet, state = 9
Iteration 793: c = a, s = sster, state = 9
Iteration 794: c = }, s = tsest, state = 9
Iteration 795: c = {, s = tseee, state = 9
Iteration 796: c = {, s = stttt, state = 9
Iteration 797: c = (, s = srree, state = 9
Iteration 798: c = {, s = stser, state = 9
Iteration 799: c = }, s = eress, state = 9
Iteration 800: c = (, s = eestt, state = 9
Iteration 801: c =  , s = resrr, state = 9
Iteration 802: c = ), s = ssest, state = 9
Iteration 803: c = ), s = ssert, state = 9
Iteration 804: c = ], s = trsrs, state = 9
Iteration 805: c = a, s = rrsst, state = 9
Iteration 806: c = (, s = etstt, state = 9
Iteration 807: c = ], s = reesr, state = 9
Iteration 808: c = (, s = rstst, state = 9
Iteration 809: c = x, s = rstss, state = 9
Iteration 810: c =  , s = sserr, state = 9
Iteration 811: c = a, s = eerrr, state = 9
Iteration 812: c = a, s = trers, state = 9
Iteration 813: c = a, s = ettre, state = 9
Iteration 814: c = [, s = terst, state = 9
Iteration 815: c =  , s = teres, state = 9
Iteration 816: c = a, s = eteet, state = 9
Iteration 817: c = (, s = essst, state = 9
Iteration 818: c = ), s = trtse, state = 9
Iteration 819: c = (, s = erees, state = 9
Iteration 820: c = ), s = resrs, state = 9
Iteration 821: c = x, s = ertse, state = 9
Iteration 822: c = }, s = rsesr, state = 9
Iteration 823: c = x, s = stess, state = 9
Iteration 824: c = a, s = stsrr, state = 9
Iteration 825: c = a, s = rrese, state = 9
Iteration 826: c = (, s = ssrsr, state = 9
Iteration 827: c = {, s = errss, state = 9
Iteration 828: c = (, s = terrt, state = 9
Iteration 829: c = {, s = seere, state = 9
Iteration 830: c = ], s = rsser, state = 9
Iteration 831: c =  , s = eteee, state = 9
Iteration 832: c = (, s = tsstr, state = 9
Iteration 833: c = x, s = ttett, state = 9
Iteration 834: c = (, s = eesse, state = 9
Iteration 835: c = [, s = reest, state = 9
Iteration 836: c = {, s = eress, state = 9
Iteration 837: c = (, s = terer, state = 9
Iteration 838: c = {, s = strtt, state = 9
Iteration 839: c = x, s = rrest, state = 9
Iteration 840: c = [, s = etrte, state = 9
Iteration 841: c = x, s = estsr, state = 9
Iteration 842: c = x, s = rtsre, state = 9
Iteration 843: c = a, s = rtsrs, state = 9
Iteration 844: c = [, s = rseer, state = 9
Iteration 845: c = ], s = tstte, state = 9
Iteration 846: c = {, s = ssssr, state = 9
Iteration 847: c = x, s = trssr, state = 9
Iteration 848: c = }, s = rrsse, state = 9
Iteration 849: c = ), s = tetes, state = 9
Iteration 850: c =  , s = eeeee, state = 9
Iteration 851: c =  , s = etrre, state = 9
Iteration 852: c = a, s = serrt, state = 9
Iteration 853: c = a, s = ttees, state = 9
Iteration 854: c = }, s = setes, state = 9
Iteration 855: c = ], s = rrsse, state = 9
Iteration 856: c = a, s = rstes, state = 9
Iteration 857: c = }, s = eeese, state = 9
Iteration 858: c = a, s = serts, state = 9
Iteration 859: c = x, s = ertre, state = 9
Iteration 860: c = [, s = essrr, state = 9
Iteration 861: c = (, s = trese, state = 9
Iteration 862: c = [, s = ttere, state = 9
Iteration 863: c = (, s = ettet, state = 9
Iteration 864: c = {, s = trsse, state = 9
Iteration 865: c = ], s = rssss, state = 9
Iteration 866: c = ), s = esstr, state = 9
Iteration 867: c = (, s = tttrr, state = 9
Iteration 868: c = ), s = setss, state = 9
Iteration 869: c =  , s = retst, state = 9
Iteration 870: c = {, s = srsrs, state = 9
Iteration 871: c = (, s = srtet, state = 9
Iteration 872: c = (, s = estrs, state = 9
Iteration 873: c = }, s = rrrts, state = 9
Iteration 874: c = ], s = sstee, state = 9
Iteration 875: c = x, s = etstr, state = 9
Iteration 876: c =  , s = rsett, state = 9
Iteration 877: c = a, s = trssr, state = 9
Iteration 878: c = x, s = errer, state = 9
Iteration 879: c = a, s = tsest, state = 9
Iteration 880: c = {, s = rrstt, state = 9
Iteration 881: c = x, s = rrret, state = 9
Iteration 882: c = }, s = esrtr, state = 9
Iteration 883: c = [, s = teets, state = 9
Iteration 884: c =  , s = setrt, state = 9
Iteration 885: c = }, s = srsrt, state = 9
Iteration 886: c = }, s = ststr, state = 9
Iteration 887: c = a, s = tertr, state = 9
Iteration 888: c = a, s = rtsss, state = 9
Iteration 889: c = x, s = teste, state = 9
Iteration 890: c = x, s = eterr, state = 9
Iteration 891: c =  , s = sstre, state = 9
Iteration 892: c = ], s = errer, state = 9
Iteration 893: c = }, s = srtrs, state = 9
Iteration 894: c = }, s = rstse, state = 9
Iteration 895: c = ], s = rstes, state = 9
Iteration 896: c =  , s = srser, state = 9
Iteration 897: c = (, s = esret, state = 9
Iteration 898: c = {, s = seree, state = 9
Iteration 899: c =  , s = tsesr, state = 9
Iteration 900: c =  , s = srrss, state = 9
Iteration 901: c = ], s = ertte, state = 9
Iteration 902: c = {, s = tsstr, state = 9
Iteration 903: c = (, s = tsttt, state = 9
Iteration 904: c = ], s = stste, state = 9
Iteration 905: c = ], s = ertss, state = 9
Iteration 906: c = ), s = etert, state = 9
Iteration 907: c = [, s = rsese, state = 9
Iteration 908: c =  , s = rrttt, state = 9
Iteration 909: c = }, s = tssse, state = 9
Iteration 910: c = [, s = ettre, state = 9
Iteration 911: c =  , s = ssets, state = 9
Iteration 912: c = }, s = stsre, state = 9
Iteration 913: c = a, s = eeter, state = 9
Iteration 914: c = ), s = rrrss, state = 9
Iteration 915: c = (, s = eteet, state = 9
Iteration 916: c = (, s = serte, state = 9
Iteration 917: c =  , s = tteet, state = 9
Iteration 918: c = a, s = rerts, state = 9
Iteration 919: c = }, s = ssesr, state = 9
Iteration 920: c = ), s = reses, state = 9
Iteration 921: c = (, s = tettr, state = 9
Iteration 922: c = a, s = srtte, state = 9
Iteration 923: c = ], s = ssrte, state = 9
Iteration 924: c = }, s = rtres, state = 9
Iteration 925: c = {, s = rsesr, state = 9
Iteration 926: c = x, s = ttest, state = 9
Iteration 927: c = (, s = seesr, state = 9
Iteration 928: c = }, s = etees, state = 9
Iteration 929: c =  , s = tsstt, state = 9
Iteration 930: c = (, s = ttsre, state = 9
Iteration 931: c =  , s = rrset, state = 9
Iteration 932: c = a, s = tesrt, state = 9
Iteration 933: c = (, s = trere, state = 9
Iteration 934: c = }, s = treet, state = 9
Iteration 935: c =  , s = esttt, state = 9
Iteration 936: c = x, s = stere, state = 9
Iteration 937: c = }, s = eretr, state = 9
Iteration 938: c = }, s = eretr, state = 9
Iteration 939: c = ], s = sttrr, state = 9
Iteration 940: c = ], s = reere, state = 9
Iteration 941: c = x, s = rtret, state = 9
Iteration 942: c = (, s = erett, state = 9
Iteration 943: c = ), s = rreet, state = 9
Iteration 944: c = (, s = rsers, state = 9
Iteration 945: c = (, s = tstrs, state = 9
Iteration 946: c = (, s = etter, state = 9
Iteration 947: c = a, s = ssste, state = 9
Iteration 948: c = [, s = resss, state = 9
Iteration 949: c = a, s = rttet, state = 9
Iteration 950: c =  , s = tsrts, state = 9
Iteration 951: c =  , s = ttetr, state = 9
Iteration 952: c = ), s = esrre, state = 9
Iteration 953: c = }, s = esstr, state = 9
Iteration 954: c = ], s = ertre, state = 9
Iteration 955: c = }, s = sersr, state = 9
Iteration 956: c = {, s = rtsss, state = 9
Iteration 957: c =  , s = rrerr, state = 9
Iteration 958: c = x, s = eeete, state = 9
Iteration 959: c = ], s = tsets, state = 9
Iteration 960: c = a, s = ertss, state = 9
Iteration 961: c = (, s = ettte, state = 9
Iteration 962: c = [, s = seere, state = 9
Iteration 963: c = ), s = tstre, state = 9
Iteration 964: c = x, s = ersst, state = 9
Iteration 965: c = (, s = reert, state = 9
Iteration 966: c =  , s = trsst, state = 9
Iteration 967: c = [, s = rsres, state = 9
Iteration 968: c = }, s = tetse, state = 9
Iteration 969: c = {, s = sserr, state = 9
Iteration 970: c = }, s = rreer, state = 9
Iteration 971: c = {, s = errts, state = 9
Iteration 972: c = }, s = tsstr, state = 9
Iteration 973: c = (, s = etere, state = 9
Iteration 974: c = {, s = etrst, state = 9
Iteration 975: c = ], s = strre, state = 9
Iteration 976: c = }, s = rseee, state = 9
Iteration 977: c = [, s = erstr, state = 9
Iteration 978: c = (, s = teere, state = 9
Iteration 979: c = (, s = ssesr, state = 9
Iteration 980: c = {, s = sttst, state = 9
Iteration 981: c = ), s = ttsrr, state = 9
Iteration 982: c = x, s = rersr, state = 9
Iteration 983: c = (, s = rteet, state = 9
Iteration 984: c = a, s = teert, state = 9
Iteration 985: c = ), s = reetr, state = 9
Iteration 986: c = [, s = rttsr, state = 9
Iteration 987: c = a, s = srets, state = 9
Iteration 988: c = }, s = tseet, state = 9
Iteration 989: c = ], s = rsses, state = 9
Iteration 990: c = ], s = tstre, state = 9
Iteration 991: c = [, s = retrr, state = 9
Iteration 992: c = {, s = rstee, state = 9
Iteration 993: c = ), s = tetes, state = 9
Iteration 994: c = {, s = ssrrt, state = 9
Iteration 995: c = x, s = strst, state = 9
Iteration 996: c = (, s = ertrr, state = 9
Iteration 997: c = x, s = trese, state = 9
Iteration 998: c = [, s = terss, state = 9
Iteration 999: c = [, s = rrrrr, state = 9
Iteration 1000: c = x, s = stsse, state = 9
Iteration 1001: c = x, s = rsstt, state = 9
Iteration 1002: c = }, s = ssste, state = 9
Iteration 1003: c = [, s = srrst, state = 9
Iteration 1004: c = ), s = rtsrr, state = 9
Iteration 1005: c = }, s = rssse, state = 9
Iteration 1006: c = [, s = reesr, state = 9
Iteration 1007: c =  , s = rstse, state = 9
Iteration 1008: c = }, s = srrss, state = 9
Iteration 1009: c = ], s = etttt, state = 9
Iteration 1010: c =  , s = sters, state = 9
Iteration 1011: c = x, s = tstee, state = 9
Iteration 1012: c = (, s = eeerr, state = 9
Iteration 1013: c =  , s = rster, state = 9
Iteration 1014: c =  , s = rerte, state = 9
Iteration 1015: c =  , s = sttrr, state = 9
Iteration 1016: c = a, s = strsr, state = 9
Iteration 1017: c = [, s = essts, state = 9
Iteration 1018: c =  , s = strer, state = 9
Iteration 1019: c = (, s = srstr, state = 9
Iteration 1020: c = [, s = tstss, state = 9
Iteration 1021: c =  , s = resrt, state = 9
Iteration 1022: c = }, s = erett, state = 9
Iteration 1023: c = x, s = sesss, state = 9
Iteration 1024: c = x, s = tetsr, state = 9
Iteration 1025: c =  , s = etere, state = 9
Iteration 1026: c = x, s = teese, state = 9
Iteration 1027: c = }, s = esrss, state = 9
Iteration 1028: c = ), s = erers, state = 9
Iteration 1029: c =  , s = sseer, state = 9
Iteration 1030: c = [, s = rerss, state = 9
Iteration 1031: c = {, s = settt, state = 9
Iteration 1032: c = ), s = trtts, state = 9
Iteration 1033: c = }, s = treer, state = 9
Iteration 1034: c = ], s = esesr, state = 9
Iteration 1035: c = x, s = trtts, state = 9
Iteration 1036: c = ), s = rrstt, state = 9
Iteration 1037: c = x, s = rssts, state = 9
Iteration 1038: c = [, s = reees, state = 9
Iteration 1039: c = ], s = rttse, state = 9
Iteration 1040: c = x, s = trrst, state = 9
Iteration 1041: c = ), s = trtst, state = 9
Iteration 1042: c = ), s = rtess, state = 9
Iteration 1043: c = a, s = tsrrt, state = 9
Iteration 1044: c = ), s = erses, state = 9
Iteration 1045: c = ], s = rerrr, state = 9
Iteration 1046: c = ), s = ttrse, state = 9
Iteration 1047: c = {, s = reter, state = 9
Iteration 1048: c = x, s = rtrer, state = 9
Iteration 1049: c = ), s = retss, state = 9
Iteration 1050: c = x, s = stttt, state = 9
Iteration 1051: c = [, s = tsstr, state = 9
Iteration 1052: c =  , s = seees, state = 9
Iteration 1053: c = ), s = ttetr, state = 9
Iteration 1054: c = (, s = srsss, state = 9
Iteration 1055: c = {, s = tersr, state = 9
Iteration 1056: c = {, s = etsrs, state = 9
Iteration 1057: c = ], s = rrtes, state = 9
Iteration 1058: c = ], s = teerr, state = 9
Iteration 1059: c = [, s = esetr, state = 9
Iteration 1060: c = a, s = rrrrs, state = 9
Iteration 1061: c = ), s = rrtsr, state = 9
Iteration 1062: c = ), s = rrsre, state = 9
Iteration 1063: c = }, s = sretr, state = 9
Iteration 1064: c = x, s = retee, state = 9
Iteration 1065: c = {, s = reres, state = 9
Iteration 1066: c = }, s = esser, state = 9
Iteration 1067: c = (, s = srsrr, state = 9
Iteration 1068: c = }, s = rsree, state = 9
Iteration 1069: c = ), s = sesss, state = 9
Iteration 1070: c = ), s = stesr, state = 9
Iteration 1071: c = (, s = reets, state = 9
Iteration 1072: c = ], s = eeere, state = 9
Iteration 1073: c = x, s = rsrrt, state = 9
Iteration 1074: c = ), s = estrr, state = 9
Iteration 1075: c = {, s = tserr, state = 9
Iteration 1076: c = x, s = trsrt, state = 9
Iteration 1077: c = ), s = eeste, state = 9
Iteration 1078: c = x, s = eeeee, state = 9
Iteration 1079: c = ], s = ttttt, state = 9
Iteration 1080: c = a, s = esest, state = 9
Iteration 1081: c = a, s = tseet, state = 9
Iteration 1082: c = x, s = srsrt, state = 9
Iteration 1083: c = }, s = rrres, state = 9
Iteration 1084: c = a, s = serer, state = 9
Iteration 1085: c = }, s = reset, state = 9
error 
